2026-09-19 10:56:34,681 | WARNING | Predicting INFY.NS with 4 NaN feature(s): ['ret_5_minus_group', 'ret_20_minus_group', 'group_xs_rank', 'group_dispersion']
2026-09-19 10:56:34,697 | WARNING | Predicting KOTAKBANK.NS with 4 NaN feature(s): ['ret_5_minus_group', 'ret_20_minus_group', 'group_xs_rank', 'group_dispersion']
2026-09-19 10:56:34,745 | WARNING | Predicting MARUTI.NS with 4 NaN feature(s): ['ret_5_minus_group', 'ret_20_minus_group', 'group_xs_rank', 'group_dispersion']
2026-09-19 10:56:34,765 | WARNING | Predicting AXISBANK.NS with 4 NaN feature(s): ['ret_5_minus_group', 'ret_20_minus_group', 'group_xs_rank', 'group_dispersion']
2026-09-19 10:56:34,811 | WARNING | Predicting HCLTECH.NS with 4 NaN feature(s): ['ret_5_minus_group', 'ret_20_minus_group', 'group_xs_rank', 'group_dispersion']
2026-09-19 10:56:34,865 | WARNING | Predicting ITC.NS with 4 NaN feature(s): ['ret_5_minus_group', 'ret_20_minus_group', 'group_xs_rank', 'group_dispersion']
2026-09-19 10:56:34,904 | WARNING | Predicting NTPC.NS with 4 NaN feature(s): ['ret_5_minus_group', 'ret_20_minus_group', 'group_xs_rank', 'group_dispersion']
2026-09-19 10:56:34,940 | WARNING | Predicting ETERNAL.NS with 4 NaN feature(s): ['ret_5_minus_group', 'ret_20_minus_group', 'group_xs_rank', 'group_dispersion']
2026-09-19 10:56:34,959 | WARNING | Predicting JSWSTEEL.NS with 4 NaN feature(s): ['ret_5_minus_group', 'ret_20_minus_group', 'group_xs_rank', 'group_dispersion']
2026-09-19 10:56:34,993 | WARNING | Predicting BEL.NS with 5 NaN feature(s): ['sector_dispersion', 'ret_5_minus_group', 'ret_20_minus_group', 'group_xs_rank', 'group_dispersion']
2026-09-19 10:56:35,009 | WARNING | Predicting ONGC.NS with 4 NaN feature(s): ['ret_5_minus_group', 'ret_20_minus_group', 'group_xs_rank', 'group_dispersion']
2026-09-19 10:56:35,028 | WARNING | Predicting COALINDIA.NS with 4 NaN feature(s): ['ret_5_minus_group', 'ret_20_minus_group', 'group_xs_rank', 'group_dispersion']
2026-09-19 10:56:35,044 | WARNING | Predicting POWERGRID.NS with 4 NaN feature(s): ['ret_5_minus_group', 'ret_20_minus_group', 'group_xs_rank', 'group_dispersion']
2026-09-19 10:56:35,061 | WARNING | Predicting SHRIRAMFIN.NS with 4 NaN feature(s): ['ret_5_minus_group', 'ret_20_minus_group', 'group_xs_rank', 'group_dispersion']
2026-09-19 10:56:35,079 | WARNING | Predicting ASIANPAINT.NS with 4 NaN feature(s): ['ret_5_minus_group', 'ret_20_minus_group', 'group_xs_rank', 'group_dispersion']
2026-09-19 10:56:35,142 | WARNING | Predicting EICHERMOT.NS with 4 NaN feature(s): ['ret_5_minus_group', 'ret_20_minus_group', 'group_xs_rank', 'group_dispersion']
2026-09-19 10:56:35,157 | WARNING | Predicting INDIGO.NS with 4 NaN feature(s): ['ret_5_minus_group', 'ret_20_minus_group', 'group_xs_rank', 'group_dispersion']
2026-09-19 10:56:35,188 | WARNING | Predicting WIPRO.NS with 4 NaN feature(s): ['ret_5_minus_group', 'ret_20_minus_group', 'group_xs_rank', 'group_dispersion']
2026-09-19 10:56:35,249 | WARNING | Predicting APOLLOHOSP.NS with 4 NaN feature(s): ['ret_5_minus_group', 'ret_20_minus_group', 'group_xs_rank', 'group_dispersion']
2026-09-19 10:56:35,295 | WARNING | Predicting CIPLA.NS with 4 NaN feature(s): ['ret_5_minus_group', 'ret_20_minus_group', 'group_xs_rank', 'group_dispersion']
