confidence_bucket,count,mean
"[0.0, 0.55)",28065,0.4614288259397826
"[0.55, 0.6)",4889,0.5015340560441808
"[0.6, 0.65)",2646,0.5022675736961452
"[0.65, 0.7)",1148,0.4991289198606272
"[0.7, 0.8)",472,0.4978813559322034
"[0.8, 1.01)",72,0.5555555555555556
